Vgs,Ids
-5,5.29968E-11
-4.95,5.9224E-11
-4.9,6.42802E-11
-4.85,6.47676E-11
-4.8,7.09956E-11
-4.75,7.6112E-11
-4.7,8.76954E-11
-4.65,9.1914E-11
-4.6,1.010642E-10
-4.55,1.130918E-10
-4.5,1.2478E-10
-4.45,1.2966E-10
-4.4,1.4865E-10
-4.35,1.4401E-10
-4.3,1.7107E-10
-4.25,1.8665E-10
-4.2,1.9928E-10
-4.15,2.2075E-10
-4.1,2.5086E-10
-4.05,3.0837E-10
-4,3.4458E-10
-3.95,3.8111E-10
-3.9,4.3292E-10
-3.85,4.14E-10
-3.8,5.293E-10
-3.75,5.8208E-10
-3.7,6.3536E-10
-3.65,6.6955E-10
-3.6,7.6386E-10
-3.55,7.6875E-10
-3.5,8.129E-10
-3.45,9.8705E-10
-3.4,9.7139E-10
-3.35,9.7184E-10
-3.3,1.0884E-09
-3.25,1.217E-09
-3.2,1.3392E-09
-3.15,1.3791E-09
-3.1,1.5389E-09
-3.05,1.9169E-09
-3,1.8797E-09
-2.95,2.1033E-09
-2.9,2.2704E-09
-2.85,2.527E-09
-2.8,2.8884E-09
-2.75,3.2919E-09
-2.7,3.6887E-09
-2.65,3.926E-09
-2.6,4.3457E-09
-2.55,4.2997E-09
-2.5,4.9853E-09
-2.45,5.5836E-09
-2.4,5.9905E-09
-2.35,6.737E-09
-2.3,7.329E-09
-2.25,7.8873E-09
-2.2,8.62E-09
-2.15,9.4624E-09
-2.1,1.02958E-08
-2.05,1.10988E-08
-2,1.1176E-08
-1.95,1.1951E-08
-1.9,1.27198E-08
-1.85,1.31594E-08
-1.8,1.44134E-08
-1.75,1.52292E-08
-1.7,1.62888E-08
-1.65,1.66482E-08
-1.6,1.80232E-08
-1.55,1.89142E-08
-1.5,1.95378E-08
-1.45,2.0738E-08
-1.4,2.17744E-08
-1.35,2.27796E-08
-1.3,2.38052E-08
-1.25,2.49102E-08
-1.2,2.5702E-08
-1.15,2.68726E-08
-1.1,2.78578E-08
-1.05,2.9156E-08
-1,3.04032E-08
-0.95,3.111E-08
-0.9,3.17518E-08
-0.85,3.29152E-08
-0.8,3.4162E-08
-0.75,3.50462E-08
-0.7,3.6606E-08
-0.65,3.77086E-08
-0.6,3.86508E-08
-0.55,3.93142E-08
-0.5,4.00582E-08
-0.45,4.1277E-08
-0.4,4.23874E-08
-0.35,4.3113E-08
-0.3,4.40114E-08
-0.25,4.47844E-08
-0.2,4.60704E-08
-0.15,4.70424E-08
-0.1,4.79846E-08
-0.05,4.89462E-08
0,5.02574E-08
0.05,5.12254E-08
0.1,5.25872E-08
0.15,5.3415E-08
0.2,5.42114E-08
0.25,5.53728E-08
0.3,5.63144E-08
0.35,5.73996E-08
0.4,5.81984E-08
0.45,5.86994E-08
0.5,5.97902E-08
0.55,6.10048E-08
0.6,6.20792E-08
0.65,6.32572E-08
0.7,6.4227E-08
0.75,6.51736E-08
0.8,6.64586E-08
0.85,6.70658E-08
0.9,6.7868E-08
0.95,6.88602E-08
1,6.94526E-08
1.05,7.02844E-08
1.1,7.13978E-08
1.15,7.22142E-08
1.2,7.31734E-08
1.25,7.44388E-08
1.3,7.5199E-08
1.35,7.55166E-08
1.4,7.6563E-08
1.45,7.71692E-08
1.5,7.77276E-08
1.55,7.83452E-08
1.6,7.87774E-08
1.65,7.99642E-08
1.7,8.04028E-08
1.75,8.13858E-08
1.8,8.24106E-08
1.85,8.31618E-08
1.9,8.38992E-08
1.95,8.50504E-08
2,8.5998E-08
2.05,8.68574E-08
2.1,8.73574E-08
2.15,8.82054E-08
