Vgs,Ids
-5,7.7573E-10
-4.95,8.2714E-10
-4.9,9.1853E-10
-4.85,1.07853E-09
-4.8,1.0619E-09
-4.75,1.0171E-09
-4.7,1.1172E-09
-4.65,1.2303E-09
-4.6,1.2713E-09
-4.55,1.4706E-09
-4.5,1.575E-09
-4.45,1.8182E-09
-4.4,1.9859E-09
-4.35,2.0244E-09
-4.3,2.1693E-09
-4.25,2.3433E-09
-4.2,2.4967E-09
-4.15,2.7538E-09
-4.1,2.8485E-09
-4.05,2.8551E-09
-4,3.1444E-09
-3.95,3.3112E-09
-3.9,3.5127E-09
-3.85,4.3994E-09
-3.8,4.2718E-09
-3.75,4.9044E-09
-3.7,5.1565E-09
-3.65,6.0623E-09
-3.6,6.6797E-09
-3.55,6.2203E-09
-3.5,7.7064E-09
-3.45,7.291E-09
-3.4,7.2153E-09
-3.35,8.0849E-09
-3.3,8.6657E-09
-3.25,9.5724E-09
-3.2,1.12219E-08
-3.15,1.2052E-08
-3.1,1.26558E-08
-3.05,1.352E-08
-3,1.5129E-08
-2.95,1.58936E-08
-2.9,1.62606E-08
-2.85,1.67356E-08
-2.8,1.63572E-08
-2.75,1.69706E-08
-2.7,1.84926E-08
-2.65,2.01864E-08
-2.6,2.06394E-08
-2.55,2.13666E-08
-2.5,2.23194E-08
-2.45,2.34768E-08
-2.4,2.56042E-08
-2.35,2.48698E-08
-2.3,2.77792E-08
-2.25,2.75682E-08
-2.2,2.7979E-08
-2.15,3.02264E-08
-2.1,3.28632E-08
-2.05,3.51928E-08
-2,3.63878E-08
-1.95,3.68308E-08
-1.9,3.77952E-08
-1.85,3.83814E-08
-1.8,4.2549E-08
-1.75,4.47534E-08
-1.7,4.77572E-08
-1.65,5.0211E-08
-1.6,5.50872E-08
-1.55,5.96228E-08
-1.5,6.20632E-08
-1.45,6.24456E-08
-1.4,6.57696E-08
-1.35,6.67308E-08
-1.3,6.88996E-08
-1.25,6.98646E-08
-1.2,7.52438E-08
-1.15,8.15996E-08
-1.1,8.66654E-08
-1.05,9.50118E-08
-1,1.002716E-07
-0.95,1.0685E-07
-0.9,1.098666E-07
-0.85,1.1222E-07
-0.8,1.208E-07
-0.75,1.2576E-07
-0.7,1.2978E-07
-0.65,1.3362E-07
-0.6,1.4078E-07
-0.55,1.4808E-07
-0.5,1.5422E-07
-0.45,1.601E-07
-0.4,1.6556E-07
-0.35,1.7294E-07
-0.3,1.8002E-07
-0.25,1.8646E-07
-0.2,1.936E-07
-0.15,2.011E-07
-0.1,2.096E-07
-0.05,2.1578E-07
0,2.2204E-07
0.05,2.282E-07
0.1,2.3668E-07
0.15,2.4236E-07
0.2,2.5072E-07
0.25,2.5682E-07
0.3,2.662E-07
0.35,2.7262E-07
0.4,2.7982E-07
0.45,2.8684E-07
0.5,2.9348E-07
0.55,3.0044E-07
0.6,3.0676E-07
0.65,3.1518E-07
0.7,3.2214E-07
0.75,3.2984E-07
0.8,3.37E-07
0.85,3.466E-07
0.9,3.5256E-07
0.95,3.598E-07
1,3.6592E-07
1.05,3.7338E-07
1.1,3.7864E-07
1.15,3.8578E-07
1.2,3.9526E-07
1.25,4.0234E-07
1.3,4.0848E-07
1.35,4.1686E-07
1.4,4.2376E-07
1.45,4.2978E-07
