Vgs,Ids
-5,2.6726E-10
-4.95,2.2685E-10
-4.9,2.5454E-10
-4.85,2.9037E-10
-4.8,2.9779E-10
-4.75,3.2627E-10
-4.7,3.0284E-10
-4.65,3.4976E-10
-4.6,3.5682E-10
-4.55,4.2313E-10
-4.5,4.0631E-10
-4.45,4.8059E-10
-4.4,5.0461E-10
-4.35,5.5607E-10
-4.3,5.7825E-10
-4.25,6.4274E-10
-4.2,6.3493E-10
-4.15,8.2197E-10
-4.1,8.4712E-10
-4.05,8.8351E-10
-4,8.0557E-10
-3.95,9.2902E-10
-3.9,8.8676E-10
-3.85,1.10904E-09
-3.8,1.0271E-09
-3.75,1.0821E-09
-3.7,1.2815E-09
-3.65,1.3984E-09
-3.6,1.581E-09
-3.55,1.7965E-09
-3.5,1.9415E-09
-3.45,2.4009E-09
-3.4,2.2653E-09
-3.35,2.7145E-09
-3.3,3.0559E-09
-3.25,3.7015E-09
-3.2,3.5496E-09
-3.15,4.0532E-09
-3.1,4.2376E-09
-3.05,5.0534E-09
-3,4.6361E-09
-2.95,5.2533E-09
-2.9,4.8083E-09
-2.85,5.1531E-09
-2.8,5.7329E-09
-2.75,6.2168E-09
-2.7,6.4326E-09
-2.65,8.5728E-09
-2.6,9.724E-09
-2.55,1.04989E-08
-2.5,1.02582E-08
-2.45,1.15954E-08
-2.4,1.07876E-08
-2.35,1.11754E-08
-2.3,1.31928E-08
-2.25,1.3492E-08
-2.2,1.33762E-08
-2.15,1.50934E-08
-2.1,1.72098E-08
-2.05,1.76276E-08
-2,1.9158E-08
-1.95,2.06784E-08
-1.9,2.15998E-08
-1.85,2.31554E-08
-1.8,2.28918E-08
-1.75,2.36824E-08
-1.7,2.60908E-08
-1.65,2.87278E-08
-1.6,3.05792E-08
-1.55,3.17352E-08
-1.5,3.3132E-08
-1.45,3.4711E-08
-1.4,3.65866E-08
-1.35,3.76122E-08
-1.3,3.86406E-08
-1.25,3.88942E-08
-1.2,4.0015E-08
-1.15,4.11144E-08
-1.1,4.25286E-08
-1.05,4.30336E-08
-1,4.48424E-08
-0.95,4.73846E-08
-0.9,4.82318E-08
-0.85,4.93258E-08
-0.8,5.10108E-08
-0.75,5.1963E-08
-0.7,5.34832E-08
-0.65,5.52524E-08
-0.6,5.755E-08
-0.55,5.9102E-08
-0.5,5.9903E-08
-0.45,6.10408E-08
-0.4,6.37498E-08
-0.35,6.43396E-08
-0.3,6.60004E-08
-0.25,6.83072E-08
-0.2,6.94526E-08
-0.15,6.99542E-08
-0.1,7.18946E-08
-0.05,7.3757E-08
0,7.45494E-08
0.05,7.66136E-08
0.1,7.87624E-08
0.15,8.01208E-08
0.2,8.09422E-08
0.25,8.23858E-08
0.3,8.439E-08
0.35,8.51588E-08
0.4,8.68076E-08
0.45,8.80124E-08
0.5,8.97988E-08
0.55,9.09354E-08
0.6,9.21496E-08
0.65,9.3305E-08
0.7,9.45488E-08
0.75,9.58832E-08
0.8,9.72888E-08
0.85,9.83462E-08
0.9,9.948E-08
0.95,1.013598E-07
1,1.023604E-07
1.05,1.035078E-07
1.1,1.058832E-07
1.15,1.06865E-07
1.2,1.078328E-07
1.25,1.09796E-07
1.3,1.111538E-07
1.35,1.120238E-07
1.4,1.135298E-07
1.45,1.148774E-07
1.5,1.1718E-07
1.55,1.1774E-07
1.6,1.189E-07
1.65,1.2028E-07
1.7,1.2254E-07
1.75,1.2318E-07
1.8,1.242E-07
1.85,1.2498E-07
1.9,1.2662E-07
1.95,1.276E-07
2,1.2846E-07
2.05,1.3042E-07
2.1,1.3142E-07
2.15,1.3334E-07
2.2,1.3312E-07
2.25,1.3518E-07
2.3,1.3642E-07
2.35,1.3798E-07
2.4,1.3882E-07
2.45,1.3956E-07
2.5,1.4154E-07
2.55,1.4302E-07
2.6,1.4506E-07
2.65,1.4522E-07
2.7,1.4644E-07
2.75,1.4764E-07
2.8,1.4844E-07
2.85,1.5104E-07
2.9,1.5114E-07
2.95,1.5518E-07
3,1.5522E-07
3.05,1.5684E-07
3.1,1.5618E-07
3.15,1.5858E-07
3.2,1.585E-07
3.25,1.6022E-07
3.3,1.6028E-07
3.35,1.6182E-07
3.4,1.6346E-07
3.45,1.6496E-07
3.5,1.6618E-07
3.55,1.6718E-07
3.6,1.6838E-07
3.65,1.6818E-07
3.7,1.6952E-07
3.75,1.7038E-07
3.8,1.7224E-07
3.85,1.7492E-07
3.9,1.7506E-07
3.95,1.7728E-07
4,1.7622E-07
4.05,1.7752E-07
4.1,1.7874E-07
4.15,1.79E-07
4.2,1.8052E-07
4.25,1.8144E-07
4.3,1.817E-07
4.35,1.8184E-07
4.4,1.8484E-07
4.45,1.842E-07
4.5,1.8652E-07
4.55,1.8682E-07
4.6,1.8796E-07
4.65,1.8912E-07
4.7,1.8888E-07
4.75,1.9038E-07
4.8,1.9308E-07
4.85,1.9292E-07
4.9,1.9354E-07
4.95,1.9436E-07
5,1.9406E-07
5,1.9548E-07
4.95,1.9362E-07
4.9,1.929E-07
4.85,1.9226E-07
4.8,1.903E-07
4.75,1.89E-07
4.7,1.8686E-07
4.65,1.8574E-07
4.6,1.8588E-07
4.55,1.8424E-07
4.5,1.8278E-07
4.45,1.823E-07
4.4,1.8182E-07
4.35,1.8072E-07
4.3,1.7864E-07
4.25,1.7576E-07
4.2,1.754E-07
4.15,1.7276E-07
4.1,1.7216E-07
4.05,1.7116E-07
4,1.7346E-07
3.95,1.7114E-07
3.9,1.7062E-07
3.85,1.6692E-07
3.8,1.666E-07
3.75,1.6676E-07
3.7,1.6382E-07
3.65,1.632E-07
3.6,1.626E-07
3.55,1.6022E-07
3.5,1.5942E-07
3.45,1.592E-07
3.4,1.5738E-07
3.35,1.5578E-07
3.3,1.551E-07
3.25,1.5412E-07
3.2,1.5306E-07
3.15,1.4986E-07
3.1,1.4978E-07
3.05,1.488E-07
3,1.4752E-07
2.95,1.4636E-07
2.9,1.4494E-07
2.85,1.4464E-07
2.8,1.42E-07
2.75,1.4084E-07
2.7,1.4002E-07
2.65,1.3772E-07
2.6,1.377E-07
2.55,1.3542E-07
2.5,1.3394E-07
2.45,1.3428E-07
2.4,1.318E-07
2.35,1.3156E-07
2.3,1.2926E-07
2.25,1.276E-07
2.2,1.2494E-07
2.15,1.25E-07
2.1,1.231E-07
2.05,1.215E-07
2,1.202E-07
1.95,1.1862E-07
1.9,1.1672E-07
1.85,1.1772E-07
1.8,1.159E-07
1.75,1.1406E-07
1.7,1.12E-07
1.65,1.1118E-07
1.6,1.0968E-07
1.55,1.0806E-07
1.5,1.0766E-07
1.45,1.0556E-07
1.4,1.0384E-07
1.35,1.0208E-07
1.3,1.0184E-07
1.25,9.916E-08
1.2,9.78902E-08
1.15,9.64094E-08
1.1,9.4009E-08
1.05,9.40916E-08
1,9.31192E-08
0.95,9.11656E-08
0.9,8.92794E-08
0.85,8.83492E-08
0.8,8.66612E-08
0.75,8.48928E-08
0.7,8.36264E-08
0.65,8.20566E-08
0.6,8.01608E-08
0.55,7.84654E-08
0.5,7.65818E-08
0.45,7.43548E-08
0.4,7.26412E-08
0.35,7.07962E-08
0.3,6.9322E-08
0.25,6.7621E-08
0.2,6.57064E-08
0.15,6.40432E-08
0.1,6.27336E-08
0.05,6.11008E-08
0,5.92106E-08
-0.05,5.76684E-08
-0.1,5.59838E-08
-0.15,5.4192E-08
-0.2,5.27604E-08
-0.25,5.12348E-08
-0.3,5.04566E-08
-0.35,4.89648E-08
-0.4,4.68816E-08
-0.45,4.52498E-08
-0.5,4.35544E-08
-0.55,4.20848E-08
-0.6,4.05146E-08
-0.65,3.91108E-08
-0.7,3.7679E-08
-0.75,3.63882E-08
-0.8,3.52044E-08
-0.85,3.37254E-08
-0.9,3.24008E-08
-0.95,3.07688E-08
-1,2.92816E-08
-1.05,2.73844E-08
-1.1,2.65152E-08
-1.15,2.41504E-08
