Vgs,Ids
-5,9.8042E-12
-4.95,7.7274E-12
-4.9,7.7816E-12
-4.85,7.6712E-12
-4.8,8.46E-12
-4.75,9.239E-12
-4.7,9.2734E-12
-4.65,9.8242E-12
-4.6,1.0619E-11
-4.55,1.14398E-11
-4.5,1.25442E-11
-4.45,1.45238E-11
-4.4,1.52302E-11
-4.35,1.67304E-11
-4.3,1.74666E-11
-4.25,1.91596E-11
-4.2,2.14362E-11
-4.15,2.33288E-11
-4.1,2.52272E-11
-4.05,2.73248E-11
-4,3.12864E-11
-3.95,3.39714E-11
-3.9,3.92972E-11
-3.85,4.53948E-11
-3.8,4.64212E-11
-3.75,4.68538E-11
-3.7,5.33532E-11
-3.65,6.06232E-11
-3.6,6.32738E-11
-3.55,7.17058E-11
-3.5,7.74702E-11
-3.45,8.91034E-11
-3.4,1.082796E-10
-3.35,1.0967E-10
-3.3,1.2925E-10
-3.25,1.3848E-10
-3.2,1.7301E-10
-3.15,2.1197E-10
-3.1,2.534E-10
-3.05,3.2724E-10
-3,3.8969E-10
-2.95,5.0004E-10
-2.9,5.5374E-10
-2.85,6.6157E-10
-2.8,7.2908E-10
-2.75,7.2062E-10
-2.7,7.8839E-10
-2.65,9.4662E-10
-2.6,1.0608E-09
-2.55,1.0389E-09
-2.5,1.2621E-09
-2.45,1.4457E-09
-2.4,1.7669E-09
-2.35,2.102E-09
-2.3,2.3547E-09
-2.25,2.4967E-09
-2.2,2.9611E-09
-2.15,3.1774E-09
-2.1,3.6039E-09
-2.05,4.1755E-09
-2,4.5298E-09
-1.95,5.046E-09
-1.9,5.6762E-09
-1.85,6.0637E-09
-1.8,6.3483E-09
-1.75,6.9013E-09
-1.7,7.3033E-09
-1.65,7.7445E-09
-1.6,8.4709E-09
-1.55,9.0342E-09
-1.5,9.3503E-09
-1.45,1.00628E-08
-1.4,1.05079E-08
-1.35,1.09407E-08
-1.3,1.16638E-08
-1.25,1.25772E-08
-1.2,1.31478E-08
-1.15,1.37708E-08
-1.1,1.45032E-08
-1.05,1.54876E-08
-1,1.6448E-08
-0.95,1.75238E-08
-0.9,1.83826E-08
-0.85,1.93008E-08
-0.8,2.00834E-08
-0.75,2.09814E-08
-0.7,2.19354E-08
-0.65,2.2791E-08
-0.6,2.41386E-08
-0.55,2.48156E-08
-0.5,2.57252E-08
-0.45,2.65964E-08
-0.4,2.73508E-08
-0.35,2.81742E-08
-0.3,2.92134E-08
-0.25,3.04788E-08
-0.2,3.15066E-08
-0.15,3.27582E-08
-0.1,3.37818E-08
-0.05,3.45102E-08
0,3.59442E-08
0.05,3.74058E-08
0.1,3.8562E-08
0.15,3.95318E-08
0.2,4.09192E-08
0.25,4.22628E-08
0.3,4.31044E-08
0.35,4.44652E-08
0.4,4.57408E-08
0.45,4.66408E-08
0.5,4.80886E-08
0.55,4.93296E-08
0.6,5.07286E-08
0.65,5.1831E-08
0.7,5.31194E-08
0.75,5.4426E-08
0.8,5.5444E-08
0.85,5.61598E-08
0.9,5.76426E-08
0.95,5.90574E-08
1,6.01514E-08
1.05,6.07948E-08
1.1,6.20036E-08
1.15,6.29136E-08
1.2,6.42878E-08
1.25,6.54574E-08
1.3,6.63706E-08
1.35,6.74716E-08
1.4,6.86706E-08
1.45,6.9495E-08
1.5,7.06828E-08
1.55,7.1663E-08
1.6,7.25208E-08
1.65,7.35628E-08
1.7,7.44072E-08
1.75,7.55702E-08
1.8,7.66472E-08
1.85,7.75444E-08
1.9,7.8626E-08
1.95,7.92E-08
2,8.03848E-08
2.05,8.13464E-08
2.1,8.15962E-08
2.15,8.2283E-08
2.2,8.34318E-08
2.25,8.454E-08
2.3,8.51772E-08
2.35,8.61392E-08
2.4,8.69032E-08
2.45,8.78768E-08
2.5,8.85032E-08
2.55,8.92388E-08
2.6,8.9656E-08
2.65,9.03014E-08
2.7,9.084E-08
2.75,9.1657E-08
2.8,9.22698E-08
2.85,9.30158E-08
2.9,9.3312E-08
2.95,9.42092E-08
3,9.45646E-08
3.05,9.56098E-08
3.1,9.6286E-08
3.15,9.6797E-08
3.2,9.71682E-08
3.25,9.8095E-08
3.3,9.83196E-08
3.35,9.88028E-08
3.4,9.92624E-08
3.45,9.98666E-08
3.5,1.004534E-07
3.55,1.012816E-07
3.6,1.018254E-07
3.65,1.025762E-07
3.7,1.030278E-07
3.75,1.037708E-07
3.8,1.038656E-07
3.85,1.047302E-07
3.9,1.050278E-07
3.95,1.058042E-07
4,1.06327E-07
4.05,1.068836E-07
4.1,1.07106E-07
4.15,1.076068E-07
4.2,1.081522E-07
4.25,1.08108E-07
4.3,1.093366E-07
4.35,1.097218E-07
4.4,1.104492E-07
4.45,1.109658E-07
4.5,1.116118E-07
4.55,1.120544E-07
4.6,1.122574E-07
4.65,1.128636E-07
4.7,1.134736E-07
4.75,1.137064E-07
4.8,1.135922E-07
4.85,1.13589E-07
4.9,1.132414E-07
4.95,1.142106E-07
5,1.14342E-07
5,1.144464E-07
4.95,1.139738E-07
4.9,1.13747E-07
4.85,1.134852E-07
4.8,1.12871E-07
4.75,1.126332E-07
4.7,1.119678E-07
4.65,1.11649E-07
4.6,1.108624E-07
4.55,1.105606E-07
4.5,1.097562E-07
4.45,1.097826E-07
4.4,1.089328E-07
4.35,1.079554E-07
4.3,1.07497E-07
4.25,1.070534E-07
4.2,1.069984E-07
4.15,1.064962E-07
4.1,1.059254E-07
4.05,1.04908E-07
4,1.048516E-07
3.95,1.045276E-07
3.9,1.042148E-07
3.85,1.034004E-07
3.8,1.03164E-07
3.75,1.024574E-07
3.7,1.020524E-07
3.65,1.017856E-07
3.6,1.01103E-07
3.55,1.008226E-07
3.5,1.001616E-07
3.45,9.9689E-08
3.4,9.93634E-08
3.35,9.8702E-08
3.3,9.82446E-08
3.25,9.81308E-08
3.2,9.7371E-08
3.15,9.708E-08
3.1,9.64498E-08
3.05,9.58678E-08
3,9.49366E-08
2.95,9.41702E-08
2.9,9.39442E-08
2.85,9.3314E-08
2.8,9.2693E-08
2.75,9.17944E-08
2.7,9.09586E-08
2.65,9.01622E-08
2.6,8.96896E-08
2.55,8.8464E-08
2.5,8.78092E-08
2.45,8.67214E-08
2.4,8.61026E-08
2.35,8.50254E-08
2.3,8.44664E-08
2.25,8.34496E-08
2.2,8.26622E-08
2.15,8.16028E-08
2.1,8.10006E-08
2.05,7.9754E-08
2,7.889E-08
1.95,7.83262E-08
1.9,7.9255E-08
1.85,7.81978E-08
1.8,7.72806E-08
1.75,7.62788E-08
1.7,7.52484E-08
1.65,7.42778E-08
1.6,7.288E-08
1.55,7.1822E-08
1.5,7.10544E-08
1.45,6.96314E-08
1.4,6.87134E-08
1.35,6.72718E-08
1.3,6.62874E-08
1.25,6.51702E-08
1.2,6.39624E-08
1.15,6.24528E-08
1.1,6.14522E-08
1.05,6.01798E-08
1,5.9052E-08
0.95,5.79948E-08
0.9,5.64948E-08
0.85,5.51984E-08
0.8,5.43416E-08
0.75,5.2617E-08
0.7,5.12308E-08
0.65,5.0052E-08
0.6,4.8738E-08
0.55,4.71904E-08
0.5,4.62912E-08
0.45,4.50738E-08
0.4,4.36412E-08
0.35,4.19424E-08
0.3,4.11118E-08
0.25,3.96336E-08
0.2,3.83822E-08
0.15,3.73174E-08
0.1,3.57468E-08
0.05,3.45488E-08
0,3.32832E-08
-0.05,3.22626E-08
-0.1,3.09014E-08
-0.15,2.9644E-08
-0.2,2.86122E-08
-0.25,2.74474E-08
-0.3,2.62262E-08
-0.35,2.51238E-08
-0.4,2.40866E-08
-0.45,2.29882E-08
-0.5,2.19278E-08
-0.55,2.106E-08
-0.6,1.99266E-08
-0.65,1.88722E-08
-0.7,1.7693E-08
-0.75,1.6901E-08
-0.8,1.59338E-08
-0.85,1.48574E-08
-0.9,1.38772E-08
-0.95,1.2946E-08
-1,1.20478E-08
-1.05,1.1042E-08
-1.1,1.03594E-08
-1.15,8.5911E-09
-1.2,8.7916E-09
-1.25,8.111E-09
-1.3,7.3309E-09
-1.35,6.5826E-09
-1.4,5.9804E-09
-1.45,5.2884E-09
-1.5,4.8413E-09
-1.55,4.4969E-09
-1.6,3.7857E-09
-1.65,3.4778E-09
-1.7,3.2648E-09
-1.75,2.8672E-09
-1.8,2.3152E-09
-1.85,1.9641E-09
-1.9,1.6585E-09
-1.95,1.2903E-09
-2,1.0892E-09
-2.05,9.5369E-10
-2.1,8.6769E-10
-2.15,7.2747E-10
-2.2,5.8664E-10
-2.25,5.613E-10
-2.3,4.4432E-10
-2.35,3.8189E-10
-2.4,3.3057E-10
-2.45,2.6542E-10
-2.5,2.2384E-10
-2.55,2.0683E-10
-2.6,1.6314E-10
-2.65,1.5517E-10
-2.7,1.4953E-10
-2.75,1.3431E-10
-2.8,1.2717E-10
-2.85,1.1855E-10
-2.9,1.1066E-10
-2.95,9.706E-11
-3,9.485E-11
-3.05,6.16186E-11
-3.1,5.60072E-11
-3.15,4.63336E-11
-3.2,4.3765E-11
-3.25,3.87872E-11
-3.3,3.53588E-11
-3.35,3.38398E-11
-3.4,2.98674E-11
-3.45,2.80698E-11
-3.5,2.70008E-11
-3.55,2.49352E-11
-3.6,2.37806E-11
-3.65,2.19344E-11
-3.7,2.01276E-11
-3.75,1.86206E-11
-3.8,1.80776E-11
-3.85,1.73904E-11
-3.9,1.65114E-11
-3.95,1.59632E-11
-4,1.47838E-11
-4.05,1.5786E-11
-4.1,1.40486E-11
-4.15,1.36532E-11
-4.2,1.25006E-11
-4.25,1.23796E-11
-4.3,1.1942E-11
-4.35,1.16218E-11
-4.4,1.05984E-11
-4.45,1.06204E-11
-4.5,1.04E-11
-4.55,1.00858E-11
-4.6,9.273E-12
-4.65,8.8516E-12
-4.7,8.9824E-12
-4.75,8.4374E-12
-4.8,8.3176E-12
-4.85,8.2442E-12
-4.9,7.6432E-12
-4.95,7.2636E-12
-5,7.0408E-12
-5,2.07526E-11
-4.95,2.10752E-11
-4.9,2.46118E-11
-4.85,2.66036E-11
-4.8,2.8328E-11
-4.75,3.2349E-11
-4.7,3.77176E-11
-4.65,3.88666E-11
-4.6,3.92208E-11
