Vgs,Ids
-5,1.0454E-10
-4.95,4.8123E-11
-4.9,3.4227E-11
-4.85,2.76654E-11
-4.8,2.5253E-11
-4.75,2.46192E-11
-4.7,2.31092E-11
-4.65,2.376E-11
-4.6,2.36356E-11
-4.55,2.35988E-11
-4.5,2.31154E-11
-4.45,2.40302E-11
-4.4,2.64866E-11
-4.35,2.60818E-11
-4.3,2.72368E-11
-4.25,2.89716E-11
-4.2,3.01316E-11
-4.15,3.24672E-11
-4.1,3.43494E-11
-4.05,3.74384E-11
-4,3.81614E-11
-3.95,4.04918E-11
-3.9,4.1385E-11
-3.85,4.1485E-11
-3.8,4.43766E-11
-3.75,4.64382E-11
-3.7,4.77968E-11
-3.65,4.78784E-11
-3.6,5.69196E-11
-3.55,6.19868E-11
-3.5,6.28068E-11
-3.45,6.56582E-11
-3.4,7.08182E-11
-3.35,7.69666E-11
-3.3,8.03342E-11
-3.25,8.60756E-11
-3.2,9.49742E-11
-3.15,1.020654E-10
-3.1,1.074126E-10
-3.05,1.062536E-10
-3,1.2912E-10
-2.95,1.383E-10
-2.9,1.8186E-10
-2.85,1.6736E-10
-2.8,1.8076E-10
-2.75,1.778E-10
-2.7,2.4136E-10
-2.65,2.4643E-10
-2.6,2.9646E-10
-2.55,2.8608E-10
-2.5,3.7606E-10
-2.45,3.9638E-10
-2.4,4.5821E-10
-2.35,4.7984E-10
-2.3,5.7735E-10
-2.25,6.2821E-10
-2.2,7.6976E-10
-2.15,9.2881E-10
-2.1,9.8064E-10
-2.05,1.10827E-09
-2,1.0446E-09
-1.95,1.2813E-09
-1.9,1.5909E-09
-1.85,1.8808E-09
-1.8,2.1397E-09
-1.75,2.4768E-09
-1.7,2.9378E-09
-1.65,3.2055E-09
-1.6,3.3874E-09
-1.55,3.6927E-09
-1.5,4.3024E-09
-1.45,4.5649E-09
-1.4,5.1603E-09
-1.35,5.8642E-09
-1.3,6.4698E-09
-1.25,7.446E-09
-1.2,7.7675E-09
-1.15,8.4725E-09
-1.1,9.1438E-09
-1.05,1.00426E-08
-1,1.07643E-08
-0.95,1.09272E-08
-0.9,1.2198E-08
-0.85,1.37932E-08
-0.8,1.46316E-08
-0.75,1.60696E-08
-0.7,1.746E-08
-0.65,1.87192E-08
-0.6,1.9619E-08
-0.55,2.1079E-08
-0.5,2.3495E-08
-0.45,2.45674E-08
-0.4,2.58722E-08
-0.35,2.80762E-08
-0.3,2.74338E-08
-0.25,3.17932E-08
