Vgs,Ids
-5,7.587E-11
-4.95,6.79236E-11
-4.9,7.472E-11
-4.85,7.84914E-11
-4.8,8.8755E-11
-4.75,9.2402E-11
-4.7,1.070776E-10
-4.65,1.118278E-10
-4.6,1.13396E-10
-4.55,1.2115E-10
-4.5,1.1164E-10
-4.45,1.0853E-10
-4.4,1.2226E-10
-4.35,1.3516E-10
-4.3,1.3042E-10
-4.25,1.5323E-10
-4.2,1.6511E-10
-4.15,1.3251E-10
-4.1,1.6544E-10
-4.05,2.0471E-10
-4,2.2823E-10
-3.95,2.5272E-10
-3.9,3.4834E-10
-3.85,2.7031E-10
-3.8,4.4911E-10
-3.75,3.7399E-10
-3.7,5.366E-10
-3.65,5.2586E-10
-3.6,5.9592E-10
-3.55,7.4419E-10
-3.5,8.9054E-10
-3.45,1.11655E-09
-3.4,1.0349E-09
-3.35,1.4245E-09
-3.3,1.6251E-09
-3.25,2.2153E-09
-3.2,2.1951E-09
-3.15,2.5434E-09
-3.1,2.9911E-09
-3.05,3.8817E-09
-3,4.23E-09
-2.95,5.2729E-09
-2.9,5.9438E-09
-2.85,6.1179E-09
-2.8,7.1343E-09
-2.75,7.4726E-09
-2.7,8.7593E-09
-2.65,1.05181E-08
-2.6,1.0381E-08
-2.55,9.7416E-09
-2.5,1.13855E-08
-2.45,1.14674E-08
-2.4,1.28512E-08
-2.35,1.43446E-08
-2.3,1.50524E-08
-2.25,1.5988E-08
-2.2,1.7451E-08
-2.15,1.86662E-08
-2.1,2.07972E-08
-2.05,2.24558E-08
-2,2.37128E-08
-1.95,2.6565E-08
-1.9,2.78258E-08
-1.85,3.06E-08
-1.8,3.16534E-08
-1.75,3.32202E-08
-1.7,3.51706E-08
-1.65,3.66898E-08
-1.6,3.75806E-08
-1.55,3.9748E-08
-1.5,4.07884E-08
-1.45,4.35266E-08
-1.4,4.49062E-08
-1.35,4.63472E-08
-1.3,4.79616E-08
-1.25,4.96374E-08
-1.2,5.12732E-08
-1.15,5.34982E-08
-1.1,5.59508E-08
-1.05,5.7724E-08
-1,5.93026E-08
-0.95,6.08742E-08
-0.9,6.23156E-08
-0.85,6.4277E-08
-0.8,6.6161E-08
-0.75,6.80634E-08
-0.7,6.99802E-08
-0.65,7.16974E-08
-0.6,7.3461E-08
-0.55,7.59576E-08
-0.5,7.8209E-08
-0.45,7.90676E-08
-0.4,8.11224E-08
-0.35,8.32992E-08
-0.3,8.5417E-08
-0.25,8.7488E-08
-0.2,8.76406E-08
-0.15,8.99062E-08
-0.1,9.21114E-08
-0.05,9.39216E-08
0,9.60956E-08
0.05,9.84798E-08
0.1,1.00118E-07
0.15,1.021238E-07
0.2,1.023196E-07
0.25,1.047132E-07
0.3,1.066606E-07
0.35,1.084012E-07
0.4,1.104196E-07
0.45,1.11916E-07
0.5,1.130576E-07
0.55,1.145736E-07
0.6,1.1256E-07
0.65,1.1482E-07
0.7,1.1534E-07
0.75,1.1754E-07
0.8,1.2056E-07
0.85,1.227E-07
0.9,1.2296E-07
0.95,1.2506E-07
1,1.2648E-07
