Vgs,Ids
-5,6.62486E-11
-4.95,7.2356E-11
-4.9,8.0899E-11
-4.85,9.04254E-11
-4.8,9.04086E-11
-4.75,9.77122E-11
-4.7,1.11568E-10
-4.65,1.3879E-10
-4.6,1.3055E-10
-4.55,1.311E-10
-4.5,1.4261E-10
-4.45,1.5692E-10
-4.4,1.7733E-10
-4.35,1.9464E-10
-4.3,2.2211E-10
-4.25,2.4258E-10
-4.2,2.7057E-10
-4.15,2.7837E-10
-4.1,3.1005E-10
-4.05,3.3405E-10
-4,3.7105E-10
-3.95,4.1086E-10
-3.9,4.2933E-10
-3.85,4.5524E-10
-3.8,4.9162E-10
-3.75,6.2794E-10
-3.7,6.4886E-10
-3.65,6.8379E-10
-3.6,7.3321E-10
-3.55,8.25E-10
-3.5,8.9476E-10
-3.45,1.01812E-09
-3.4,1.12948E-09
-3.35,9.499E-10
-3.3,1.03E-09
-3.25,1.2314E-09
-3.2,1.4248E-09
-3.15,1.5292E-09
-3.1,1.751E-09
-3.05,1.7778E-09
-3,1.9238E-09
-2.95,1.9984E-09
-2.9,2.1677E-09
-2.85,2.3614E-09
-2.8,2.636E-09
-2.75,2.7488E-09
-2.7,3.0579E-09
-2.65,3.2452E-09
-2.6,3.4378E-09
-2.55,3.4129E-09
-2.5,3.6284E-09
-2.45,4.0162E-09
-2.4,4.3017E-09
-2.35,4.7652E-09
-2.3,4.8128E-09
-2.25,5.1072E-09
-2.2,5.5996E-09
-2.15,5.8955E-09
-2.1,5.9167E-09
-2.05,5.9669E-09
-2,6.3762E-09
-1.95,6.8711E-09
-1.9,7.2372E-09
-1.85,7.6765E-09
-1.8,7.7825E-09
-1.75,7.9491E-09
-1.7,8.4622E-09
-1.65,8.8718E-09
-1.6,9.0089E-09
-1.55,9.4376E-09
-1.5,9.9073E-09
-1.45,1.02128E-08
-1.4,1.05734E-08
-1.35,1.09884E-08
-1.3,1.14874E-08
-1.25,1.18264E-08
-1.2,1.23158E-08
-1.15,1.30364E-08
-1.1,1.35164E-08
