Vgs,Ids
-5,3.2958E-10
-4.95,2.5994E-10
-4.9,2.7613E-10
-4.85,3.5703E-10
-4.8,3.2105E-10
-4.75,4.3937E-10
-4.7,4.5454E-10
-4.65,5.4813E-10
-4.6,4.2573E-10
-4.55,5.2949E-10
-4.5,5.2845E-10
-4.45,6.7221E-10
-4.4,6.9162E-10
-4.35,7.5964E-10
-4.3,8.2931E-10
-4.25,8.7158E-10
-4.2,7.5785E-10
-4.15,8.2623E-10
-4.1,8.756E-10
-4.05,1.10339E-09
-4,1.06207E-09
-3.95,1.0448E-09
-3.9,1.1447E-09
-3.85,1.2988E-09
-3.8,1.4129E-09
-3.75,1.5644E-09
-3.7,1.6808E-09
-3.65,1.8281E-09
-3.6,1.993E-09
-3.55,2.0329E-09
-3.5,2.1002E-09
-3.45,1.981E-09
-3.4,2.2618E-09
-3.35,2.2334E-09
-3.3,2.7596E-09
-3.25,2.8276E-09
-3.2,3.0577E-09
-3.15,3.4849E-09
-3.1,3.7397E-09
-3.05,3.8615E-09
-3,4.3262E-09
-2.95,4.6327E-09
-2.9,5.346E-09
-2.85,5.9366E-09
-2.8,6.0445E-09
-2.75,6.9555E-09
-2.7,8.3708E-09
-2.65,8.6328E-09
-2.6,9.2289E-09
-2.55,1.01164E-08
-2.5,1.07512E-08
-2.45,1.3571E-08
-2.4,1.30542E-08
-2.35,1.332E-08
-2.3,1.67656E-08
-2.25,1.89412E-08
-2.2,1.87332E-08
-2.15,2.11348E-08
-2.1,2.25152E-08
-2.05,2.62118E-08
-2,2.87488E-08
-1.95,3.30184E-08
-1.9,3.57376E-08
-1.85,4.00644E-08
-1.8,4.31468E-08
-1.75,4.53902E-08
-1.7,4.74406E-08
-1.65,5.38068E-08
-1.6,6.12088E-08
-1.55,6.82288E-08
-1.5,7.01698E-08
-1.45,7.26368E-08
-1.4,7.97804E-08
-1.35,8.56284E-08
-1.3,9.09952E-08
-1.25,9.5646E-08
-1.2,1.004644E-07
-1.15,1.06994E-07
-1.1,1.103472E-07
-1.05,1.1782E-07
-1,1.264E-07
-0.95,1.3524E-07
-0.9,1.4114E-07
-0.85,1.488E-07
-0.8,1.531E-07
-0.75,1.6266E-07
-0.7,1.7068E-07
-0.65,1.7776E-07
-0.6,1.8736E-07
-0.55,1.939E-07
-0.5,2.0064E-07
-0.45,2.0806E-07
-0.4,2.1744E-07
-0.35,2.2466E-07
-0.3,2.3248E-07
-0.25,2.4274E-07
-0.2,2.5258E-07
-0.15,2.5834E-07
-0.1,2.658E-07
-0.05,2.7262E-07
0,2.8178E-07
0.05,2.8856E-07
0.1,2.9668E-07
0.15,3.0732E-07
0.2,3.1518E-07
0.25,3.251E-07
0.3,3.3298E-07
0.35,3.412E-07
0.4,3.5002E-07
0.45,3.587E-07
0.5,3.656E-07
0.55,3.7568E-07
0.6,3.859E-07
