Vgs,Ids
-5,1.0414E-10
-4.95,4.28496E-11
-4.9,3.13768E-11
-4.85,2.60244E-11
-4.8,2.19526E-11
-4.75,2.34656E-11
-4.7,2.29512E-11
-4.65,2.20522E-11
-4.6,2.27404E-11
-4.55,2.43148E-11
-4.5,2.49744E-11
-4.45,2.60414E-11
-4.4,2.65322E-11
-4.35,2.7757E-11
-4.3,3.13924E-11
-4.25,3.3646E-11
-4.2,3.26306E-11
-4.15,3.7172E-11
-4.1,3.95684E-11
-4.05,4.11926E-11
-4,4.54074E-11
-3.95,4.77824E-11
-3.9,5.0279E-11
-3.85,5.34744E-11
-3.8,5.47238E-11
-3.75,6.26184E-11
-3.7,6.31472E-11
-3.65,6.55394E-11
-3.6,7.03566E-11
-3.55,7.8112E-11
-3.5,7.67688E-11
-3.45,8.25896E-11
-3.4,8.91336E-11
-3.35,9.36256E-11
-3.3,1.094312E-10
-3.25,1.039134E-10
-3.2,1.2125E-10
-3.15,1.3666E-10
-3.1,1.2887E-10
-3.05,1.5761E-10
-3,1.806E-10
-2.95,1.7581E-10
-2.9,2.0273E-10
-2.85,2.5341E-10
-2.8,2.7947E-10
-2.75,3.3925E-10
-2.7,3.8558E-10
-2.65,4.1969E-10
-2.6,6.0265E-10
-2.55,7.1546E-10
-2.5,7.5195E-10
-2.45,7.4403E-10
-2.4,8.8265E-10
-2.35,1.0564E-09
-2.3,1.1815E-09
-2.25,1.3381E-09
-2.2,1.6499E-09
-2.15,1.6E-09
-2.1,1.6443E-09
-2.05,1.9455E-09
-2,2.2599E-09
-1.95,2.442E-09
-1.9,2.6485E-09
-1.85,3.261E-09
-1.8,3.7534E-09
-1.75,4.0825E-09
-1.7,3.9814E-09
-1.65,4.3917E-09
-1.6,5.0014E-09
-1.55,5.3892E-09
-1.5,6.215E-09
-1.45,6.5598E-09
-1.4,7.0108E-09
-1.35,8.0086E-09
-1.3,8.949E-09
-1.25,9.4078E-09
-1.2,1.01165E-08
-1.15,1.12872E-08
-1.1,1.12064E-08
-1.05,1.21682E-08
-1,1.29562E-08
-0.95,1.3821E-08
-0.9,1.53296E-08
-0.85,1.71142E-08
-0.8,1.8767E-08
-0.75,1.9657E-08
-0.7,2.08454E-08
-0.65,2.21734E-08
-0.6,2.30592E-08
-0.55,2.5205E-08
-0.5,2.68696E-08
-0.45,2.75308E-08
-0.4,3.02956E-08
-0.35,3.32196E-08
-0.3,3.68358E-08
-0.25,3.81918E-08
-0.2,4.08744E-08
-0.15,4.29598E-08
-0.1,4.4955E-08
-0.05,4.78296E-08
0,5.0841E-08
0.05,5.34078E-08
0.1,5.57486E-08
0.15,5.83128E-08
0.2,6.13998E-08
0.25,6.4391E-08
