Vgs,Ids
-5,6.57944E-11
-4.95,7.28922E-11
-4.9,8.27576E-11
-4.85,8.74362E-11
-4.8,1.029672E-10
-4.75,1.0667E-10
-4.7,1.1307E-10
-4.65,1.1837E-10
-4.6,1.2383E-10
-4.55,1.3983E-10
-4.5,1.673E-10
-4.45,1.8125E-10
-4.4,1.9619E-10
-4.35,2.3627E-10
-4.3,2.3813E-10
-4.25,2.669E-10
-4.2,2.5994E-10
-4.15,2.7354E-10
-4.1,3.2545E-10
-4.05,3.7269E-10
-4,4.1701E-10
-3.95,4.4696E-10
-3.9,4.7729E-10
-3.85,5.4029E-10
-3.8,5.7531E-10
-3.75,5.8314E-10
-3.7,6.2792E-10
-3.65,7.0316E-10
-3.6,7.3792E-10
-3.55,8.6098E-10
-3.5,9.3447E-10
-3.45,1.06362E-09
-3.4,1.14286E-09
-3.35,1.1873E-09
-3.3,1.2702E-09
-3.25,1.4316E-09
-3.2,1.6107E-09
-3.15,1.8543E-09
-3.1,2.1616E-09
-3.05,2.1774E-09
-3,2.4638E-09
-2.95,2.5614E-09
-2.9,2.6574E-09
-2.85,2.8133E-09
-2.8,3.084E-09
-2.75,3.2381E-09
-2.7,3.4858E-09
-2.65,3.6577E-09
-2.6,3.8658E-09
-2.55,4.0846E-09
-2.5,4.282E-09
-2.45,4.4756E-09
-2.4,4.8895E-09
-2.35,4.9206E-09
-2.3,5.2506E-09
-2.25,5.2807E-09
-2.2,5.5636E-09
-2.15,5.9611E-09
-2.1,6.2076E-09
-2.05,6.5078E-09
-2,6.8098E-09
-1.95,7.0348E-09
-1.9,7.6292E-09
-1.85,7.9747E-09
-1.8,8.4899E-09
-1.75,8.8218E-09
-1.7,9.1572E-09
-1.65,9.5491E-09
-1.6,1.00791E-08
-1.55,1.03306E-08
-1.5,1.01172E-08
-1.45,9.6985E-09
-1.4,9.8968E-09
-1.35,1.01763E-08
-1.3,1.09574E-08
-1.25,1.09827E-08
-1.2,1.14264E-08
-1.15,1.17606E-08
-1.1,1.26184E-08
-1.05,1.28382E-08
-1,1.34522E-08
-0.95,1.40252E-08
-0.9,1.45668E-08
-0.85,1.47008E-08
-0.8,1.50614E-08
-0.75,1.55082E-08
-0.7,1.60808E-08
-0.65,1.63634E-08
-0.6,1.72786E-08
-0.55,1.76752E-08
-0.5,1.84368E-08
-0.45,1.90026E-08
-0.4,1.98616E-08
-0.35,2.04492E-08
-0.3,2.10396E-08
-0.25,2.15674E-08
-0.2,2.27874E-08
-0.15,2.32894E-08
-0.1,2.3993E-08
-0.05,2.45444E-08
0,2.53692E-08
0.05,2.60396E-08
0.1,2.70218E-08
0.15,2.7405E-08
0.2,2.81352E-08
0.25,2.9021E-08
0.3,2.9679E-08
0.35,3.07912E-08
0.4,3.13932E-08
0.45,3.22572E-08
0.5,3.34322E-08
0.55,3.43078E-08
0.6,3.48954E-08
0.65,3.59854E-08
0.7,3.70396E-08
0.75,3.75386E-08
0.8,3.80484E-08
0.85,3.86244E-08
0.9,3.9663E-08
0.95,4.07116E-08
1,4.17802E-08
1.05,4.25236E-08
1.1,4.31812E-08
1.15,4.36872E-08
1.2,4.50546E-08
1.25,4.6012E-08
1.3,4.66662E-08
1.35,4.73826E-08
1.4,4.8493E-08
1.45,4.89442E-08
1.5,4.97276E-08
1.55,5.0345E-08
1.6,5.10518E-08
1.65,5.22166E-08
1.7,5.26068E-08
1.75,5.3271E-08
1.8,5.39714E-08
1.85,5.49044E-08
1.9,5.60176E-08
1.95,5.68354E-08
2,5.75104E-08
2.05,5.79792E-08
2.1,5.9096E-08
2.15,5.97918E-08
2.2,6.05366E-08
2.25,6.15738E-08
2.3,6.2698E-08
2.35,6.35814E-08
2.4,6.4146E-08
2.45,6.48882E-08
2.5,6.57874E-08
2.55,6.63726E-08
2.6,6.7093E-08
2.65,6.78748E-08
2.7,6.8331E-08
2.75,6.88466E-08
2.8,6.97238E-08
2.85,7.05336E-08
2.9,7.1162E-08
2.95,7.16424E-08
3,7.24708E-08
3.05,7.3374E-08
3.1,7.39864E-08
3.15,7.43624E-08
3.2,7.52826E-08
3.25,7.61622E-08
3.3,7.6537E-08
3.35,7.72872E-08
3.4,7.8085E-08
3.45,7.87148E-08
3.5,7.9357E-08
3.55,7.97208E-08
3.6,8.02104E-08
3.65,8.09292E-08
3.7,8.11012E-08
3.75,8.18032E-08
3.8,8.2702E-08
3.85,8.32852E-08
3.9,8.42454E-08
3.95,8.48582E-08
4,8.52202E-08
4.05,8.55972E-08
4.1,8.6592E-08
4.15,8.71784E-08
4.2,8.74634E-08
4.25,8.84582E-08
4.3,8.85472E-08
4.35,8.93696E-08
4.4,8.97574E-08
4.45,9.04118E-08
4.5,9.08774E-08
4.55,9.1258E-08
4.6,9.15156E-08
4.65,9.2174E-08
4.7,9.23138E-08
4.75,9.30094E-08
4.8,9.3372E-08
4.85,9.40632E-08
4.9,9.41562E-08
4.95,9.49974E-08
5,9.50042E-08
5,9.50174E-08
4.95,9.47996E-08
4.9,9.38796E-08
4.85,9.37328E-08
4.8,9.35876E-08
4.75,9.29878E-08
4.7,9.23826E-08
4.65,9.21662E-08
4.6,9.1432E-08
4.55,9.081E-08
4.5,9.04256E-08
4.45,9.0344E-08
4.4,8.9546E-08
4.35,8.90788E-08
4.3,8.83852E-08
4.25,8.80312E-08
4.2,8.76456E-08
4.15,8.72496E-08
4.1,8.6956E-08
4.05,8.6433E-08
4,8.56272E-08
3.95,8.46794E-08
3.9,8.44722E-08
3.85,8.3895E-08
3.8,8.3096E-08
3.75,8.25676E-08
3.7,8.20478E-08
3.65,8.14022E-08
3.6,8.08586E-08
3.55,8.05086E-08
3.5,7.97712E-08
3.45,7.9235E-08
3.4,7.85616E-08
3.35,7.76454E-08
3.3,7.67058E-08
3.25,7.63152E-08
3.2,7.49994E-08
3.15,7.45174E-08
3.1,7.35502E-08
3.05,7.31836E-08
3,7.2433E-08
2.95,7.15098E-08
2.9,7.0441E-08
2.85,7.01426E-08
2.8,6.91264E-08
2.75,6.8423E-08
2.7,6.75518E-08
2.65,6.73564E-08
2.6,6.61074E-08
2.55,6.58972E-08
2.5,6.51414E-08
2.45,6.45176E-08
2.4,6.33528E-08
2.35,6.24374E-08
2.3,6.14358E-08
2.25,6.10462E-08
2.2,6.00082E-08
2.15,5.94726E-08
