Vgs,Ids
-5,2.0318E-10
-4.95,1.4364E-10
-4.9,1.6583E-10
-4.85,1.9464E-10
-4.8,1.7837E-10
-4.75,2.4101E-10
-4.7,2.105E-10
-4.65,2.9672E-10
-4.6,2.7402E-10
-4.55,3.4584E-10
-4.5,3.4152E-10
-4.45,4.5263E-10
-4.4,4.0369E-10
-4.35,4.8038E-10
-4.3,5.4641E-10
-4.25,5.5668E-10
-4.2,6.5017E-10
-4.15,5.7289E-10
-4.1,5.706E-10
-4.05,7.2161E-10
-4,7.1895E-10
-3.95,8.7206E-10
-3.9,9.7213E-10
-3.85,9.0117E-10
-3.8,8.0651E-10
-3.75,8.244E-10
-3.7,9.9822E-10
-3.65,1.0881E-09
-3.6,1.2283E-09
-3.55,1.5454E-09
-3.5,1.3592E-09
-3.45,1.6386E-09
-3.4,1.9005E-09
-3.35,1.9973E-09
-3.3,2.2347E-09
-3.25,2.7101E-09
-3.2,3.1938E-09
-3.15,3.8541E-09
-3.1,4.3354E-09
-3.05,4.9175E-09
-3,5.1359E-09
-2.95,5.2519E-09
-2.9,5.553E-09
-2.85,5.2065E-09
-2.8,6.0506E-09
-2.75,7.7114E-09
-2.7,8.5518E-09
-2.65,8.7028E-09
-2.6,1.01327E-08
-2.55,9.617E-09
-2.5,1.02325E-08
-2.45,9.9238E-09
-2.4,1.18068E-08
-2.35,1.28528E-08
-2.3,1.4702E-08
-2.25,1.60672E-08
-2.2,1.60124E-08
-2.15,1.75824E-08
-2.1,1.98268E-08
-2.05,2.00806E-08
-2,2.24096E-08
-1.95,2.30318E-08
-1.9,2.50344E-08
-1.85,2.59382E-08
-1.8,2.65958E-08
-1.75,2.7144E-08
-1.7,2.91168E-08
-1.65,3.0584E-08
-1.6,3.14416E-08
-1.55,3.25708E-08
-1.5,3.34974E-08
-1.45,3.51624E-08
-1.4,3.66784E-08
-1.35,3.81842E-08
-1.3,4.00238E-08
-1.25,4.15528E-08
-1.2,4.3082E-08
-1.15,4.42094E-08
-1.1,4.50694E-08
-1.05,4.6777E-08
-1,4.78302E-08
-0.95,4.92586E-08
-0.9,5.10082E-08
-0.85,5.20938E-08
-0.8,5.32994E-08
-0.75,5.52164E-08
-0.7,5.70032E-08
-0.65,5.74794E-08
-0.6,5.8999E-08
-0.55,6.06646E-08
-0.5,6.18136E-08
-0.45,6.31366E-08
-0.4,6.52042E-08
-0.35,6.61624E-08
-0.3,6.84902E-08
-0.25,6.94366E-08
-0.2,7.0554E-08
-0.15,7.18162E-08
-0.1,7.32688E-08
-0.05,7.55534E-08
0,7.6395E-08
0.05,7.77182E-08
0.1,7.93498E-08
0.15,8.10794E-08
0.2,8.26312E-08
0.25,8.41368E-08
0.3,8.57546E-08
0.35,8.70738E-08
0.4,8.91326E-08
0.45,9.04482E-08
0.5,9.26698E-08
0.55,9.43484E-08
0.6,9.58816E-08
0.65,9.76002E-08
0.7,9.90362E-08
0.75,1.001336E-07
0.8,1.002116E-07
0.85,1.019034E-07
0.9,1.032402E-07
0.95,1.051674E-07
1,1.065926E-07
1.05,1.088294E-07
1.1,1.104248E-07
1.15,1.122996E-07
1.2,1.14038E-07
1.25,1.1406E-07
1.3,1.1584E-07
1.35,1.185E-07
1.4,1.2072E-07
1.45,1.2202E-07
1.5,1.2304E-07
1.55,1.2396E-07
1.6,1.2636E-07
1.65,1.2742E-07
1.7,1.286E-07
1.75,1.2998E-07
1.8,1.3202E-07
1.85,1.3284E-07
1.9,1.3504E-07
1.95,1.3584E-07
2,1.3716E-07
2.05,1.3868E-07
2.1,1.3806E-07
2.15,1.4094E-07
2.2,1.4134E-07
2.25,1.4364E-07
2.3,1.4476E-07
2.35,1.4504E-07
2.4,1.4612E-07
2.45,1.4736E-07
2.5,1.502E-07
2.55,1.5068E-07
2.6,1.5122E-07
2.65,1.5252E-07
2.7,1.5408E-07
2.75,1.5554E-07
2.8,1.5444E-07
2.85,1.57E-07
2.9,1.5796E-07
2.95,1.5904E-07
3,1.6002E-07
3.05,1.6166E-07
3.1,1.6364E-07
3.15,1.6378E-07
3.2,1.6544E-07
3.25,1.6734E-07
3.3,1.675E-07
3.35,1.6882E-07
3.4,1.6914E-07
3.45,1.7054E-07
3.5,1.7218E-07
3.55,1.7214E-07
3.6,1.709E-07
3.65,1.7388E-07
3.7,1.7442E-07
3.75,1.753E-07
3.8,1.754E-07
3.85,1.7858E-07
3.9,1.782E-07
3.95,1.799E-07
4,1.8182E-07
4.05,1.8246E-07
4.1,1.8346E-07
4.15,1.8612E-07
4.2,1.8642E-07
4.25,1.8654E-07
4.3,1.8814E-07
4.35,1.9012E-07
4.4,1.899E-07
4.45,1.9032E-07
4.5,1.9186E-07
4.55,1.9324E-07
4.6,1.91E-07
4.65,1.9296E-07
4.7,1.9614E-07
4.75,1.975E-07
4.8,1.9824E-07
4.85,1.99E-07
4.9,1.9992E-07
4.95,2.0122E-07
5,2.0196E-07
5,2.0098E-07
4.95,2.0068E-07
4.9,1.9914E-07
4.85,1.9666E-07
4.8,1.9496E-07
4.75,1.9358E-07
4.7,1.9192E-07
4.65,1.9162E-07
4.6,1.9116E-07
4.55,1.9004E-07
4.5,1.843E-07
4.45,1.8448E-07
4.4,1.8326E-07
4.35,1.8296E-07
4.3,1.8144E-07
4.25,1.8108E-07
4.2,1.7912E-07
4.15,1.7822E-07
4.1,1.7664E-07
4.05,1.749E-07
4,1.7538E-07
3.95,1.735E-07
3.9,1.7132E-07
3.85,1.713E-07
3.8,1.6888E-07
3.75,1.6858E-07
3.7,1.6736E-07
3.65,1.6502E-07
3.6,1.6476E-07
3.55,1.6462E-07
3.5,1.645E-07
3.45,1.6392E-07
3.4,1.6198E-07
3.35,1.6012E-07
3.3,1.5964E-07
3.25,1.5778E-07
3.2,1.573E-07
3.15,1.5622E-07
3.1,1.5602E-07
3.05,1.5424E-07
3,1.5214E-07
2.95,1.5144E-07
2.9,1.4954E-07
2.85,1.4838E-07
2.8,1.4666E-07
2.75,1.459E-07
2.7,1.4474E-07
2.65,1.4294E-07
2.6,1.4146E-07
2.55,1.4004E-07
2.5,1.396E-07
2.45,1.368E-07
2.4,1.3636E-07
2.35,1.3488E-07
2.3,1.3306E-07
2.25,1.3276E-07
2.2,1.3112E-07
2.15,1.2968E-07
2.1,1.2792E-07
2.05,1.265E-07
2,1.2474E-07
1.95,1.2298E-07
1.9,1.222E-07
1.85,1.2038E-07
1.8,1.1878E-07
1.75,1.175E-07
1.7,1.1668E-07
1.65,1.1554E-07
1.6,1.1402E-07
1.55,1.1286E-07
1.5,1.1104E-07
1.45,1.1058E-07
1.4,1.0884E-07
1.35,1.068E-07
1.3,1.058E-07
1.25,1.0364E-07
1.2,1.017E-07
1.15,1.016E-07
1.1,9.99054E-08
1.05,9.86922E-08
1,9.70232E-08
0.95,9.52846E-08
0.9,9.37348E-08
0.85,9.29912E-08
0.8,9.0201E-08
0.75,8.86424E-08
0.7,8.72146E-08
0.65,8.55582E-08
0.6,8.44074E-08
0.55,8.24534E-08
0.5,8.08246E-08
0.45,7.88902E-08
0.4,7.65492E-08
0.35,7.50772E-08
0.3,7.367E-08
0.25,7.243E-08
0.2,7.00714E-08
0.15,6.86938E-08
0.1,6.72158E-08
0.05,6.57772E-08
0,6.39348E-08
-0.05,6.28146E-08
-0.1,6.16214E-08
-0.15,5.95486E-08
-0.2,5.75348E-08
-0.25,5.63614E-08
-0.3,5.4663E-08
-0.35,5.2865E-08
-0.4,5.15434E-08
-0.45,4.99252E-08
-0.5,4.81982E-08
-0.55,4.66034E-08
-0.6,4.4756E-08
-0.65,4.27972E-08
-0.7,4.09898E-08
-0.75,4.00534E-08
-0.8,3.83066E-08
-0.85,3.76298E-08
-0.9,3.65044E-08
-0.95,3.43286E-08
-1,3.22446E-08
-1.05,2.82914E-08
-1.1,2.94528E-08
-1.15,2.88544E-08
-1.2,2.67246E-08
-1.25,2.45358E-08
-1.3,2.29274E-08
-1.35,2.10222E-08
-1.4,1.90252E-08
