Vgs,Ids
-5,3.3807E-10
-4.95,2.4136E-10
-4.9,2.3681E-10
-4.85,2.4715E-10
-4.8,2.0941E-10
-4.75,2.5773E-10
-4.7,2.3742E-10
-4.65,3.0484E-10
-4.6,2.8105E-10
-4.55,3.3091E-10
-4.5,2.7855E-10
-4.45,3.791E-10
-4.4,3.8047E-10
-4.35,4.529E-10
-4.3,4.4165E-10
-4.25,5.191E-10
-4.2,4.8031E-10
-4.15,5.3245E-10
-4.1,4.4962E-10
-4.05,5.4341E-10
-4,5.1026E-10
-3.95,5.9774E-10
-3.9,6.514E-10
-3.85,7.7731E-10
-3.8,8.4513E-10
-3.75,9.5263E-10
-3.7,9.7584E-10
-3.65,9.8938E-10
-3.6,1.03399E-09
-3.55,1.3241E-09
-3.5,1.3973E-09
-3.45,1.4109E-09
-3.4,1.5677E-09
-3.35,1.6913E-09
-3.3,1.9587E-09
-3.25,1.7439E-09
-3.2,1.9561E-09
-3.15,2.0298E-09
-3.1,2.2E-09
-3.05,2.3141E-09
-3,2.5009E-09
-2.95,3.0294E-09
-2.9,3.5527E-09
-2.85,3.7905E-09
-2.8,3.7792E-09
-2.75,4.002E-09
-2.7,4.5836E-09
-2.65,5.0969E-09
-2.6,5.9492E-09
-2.55,6.3279E-09
-2.5,6.6688E-09
-2.45,7.3523E-09
-2.4,7.5376E-09
-2.35,8.4597E-09
-2.3,9.4161E-09
-2.25,9.5384E-09
-2.2,1.10197E-08
-2.15,1.29074E-08
-2.1,1.43782E-08
-2.05,1.40714E-08
-2,1.59426E-08
-1.95,1.75468E-08
-1.9,1.93148E-08
-1.85,2.20584E-08
-1.8,2.35458E-08
-1.75,2.5663E-08
-1.7,2.67952E-08
-1.65,2.78614E-08
-1.6,2.9828E-08
-1.55,3.31536E-08
-1.5,3.60924E-08
-1.45,4.11384E-08
-1.4,4.44214E-08
-1.35,4.98062E-08
-1.3,5.34956E-08
-1.25,5.81978E-08
-1.2,6.31472E-08
-1.15,6.79722E-08
-1.1,7.41034E-08
-1.05,7.74382E-08
-1,8.1293E-08
-0.95,8.60374E-08
-0.9,9.24578E-08
-0.85,9.9751E-08
-0.8,1.058072E-07
-0.75,1.138286E-07
-0.7,1.222E-07
-0.65,1.2824E-07
-0.6,1.3478E-07
-0.55,1.3876E-07
-0.5,1.4756E-07
-0.45,1.5574E-07
-0.4,1.613E-07
-0.35,1.7264E-07
-0.3,1.8022E-07
-0.25,1.9098E-07
-0.2,1.9886E-07
-0.15,2.0662E-07
-0.1,2.1444E-07
-0.05,2.2406E-07
0,2.3188E-07
0.05,2.3976E-07
0.1,2.5048E-07
0.15,2.5904E-07
0.2,2.7012E-07
0.25,2.8006E-07
0.3,2.8744E-07
0.35,2.9788E-07
0.4,3.0706E-07
0.45,3.1516E-07
0.5,3.2412E-07
0.55,3.3418E-07
0.6,3.4382E-07
0.65,3.515E-07
0.7,3.6138E-07
0.75,3.7126E-07
0.8,3.7958E-07
0.85,3.891E-07
0.9,3.9678E-07
0.95,4.0564E-07
1,4.1208E-07
1.05,4.2022E-07
1.1,4.3004E-07
1.15,4.3838E-07
1.2,4.4608E-07
1.25,4.5436E-07
1.3,4.6102E-07
1.35,4.7124E-07
1.4,4.7824E-07
1.45,4.8512E-07
1.5,4.9228E-07
1.55,5E-07
1.6,5.083E-07
1.65,5.1486E-07
1.7,5.2298E-07
1.75,5.275E-07
1.8,5.3756E-07
1.85,5.4444E-07
1.9,5.5206E-07
1.95,5.6184E-07
2,5.6918E-07
2.05,5.7464E-07
2.1,5.7996E-07
2.15,5.9064E-07
2.2,5.9486E-07
2.25,6.0176E-07
2.3,6.094E-07
2.35,6.1926E-07
2.4,6.2352E-07
2.45,6.3102E-07
2.5,6.3476E-07
2.55,6.4214E-07
2.6,6.4804E-07
2.65,6.5394E-07
2.7,6.608E-07
2.75,6.6522E-07
2.8,6.693E-07
2.85,6.788E-07
2.9,6.8372E-07
2.95,6.8934E-07
3,6.934E-07
3.05,6.9932E-07
3.1,7.0322E-07
3.15,7.0936E-07
3.2,7.1934E-07
3.25,7.2378E-07
3.3,7.2786E-07
3.35,7.32E-07
3.4,7.3642E-07
3.45,7.4586E-07
3.5,7.4918E-07
3.55,7.5148E-07
3.6,7.529E-07
3.65,7.613E-07
3.7,7.6734E-07
3.75,7.734E-07
3.8,7.7634E-07
3.85,7.807E-07
3.9,7.8348E-07
3.95,7.9136E-07
4,7.9388E-07
4.05,8.0042E-07
4.1,8.0426E-07
4.15,8.0994E-07
4.2,8.0862E-07
4.25,8.126E-07
4.3,8.1902E-07
4.35,8.2014E-07
4.4,8.2556E-07
4.45,8.327E-07
4.5,8.3644E-07
4.55,8.4268E-07
4.6,8.4324E-07
4.65,8.487E-07
4.7,8.522E-07
4.75,8.5468E-07
4.8,8.556E-07
4.85,8.6106E-07
4.9,8.6556E-07
4.95,8.6984E-07
5,8.7234E-07
5,8.7326E-07
4.95,8.707E-07
4.9,8.7008E-07
4.85,8.7112E-07
4.8,8.674E-07
4.75,8.6788E-07
4.7,8.6214E-07
4.65,8.6164E-07
4.6,8.5906E-07
4.55,8.585E-07
4.5,8.5554E-07
4.45,8.5706E-07
4.4,8.5324E-07
4.35,8.4888E-07
4.3,8.4916E-07
4.25,8.4682E-07
4.2,8.4184E-07
4.15,8.4148E-07
4.1,8.3676E-07
4.05,8.365E-07
4,8.3162E-07
3.95,8.3174E-07
3.9,8.317E-07
3.85,8.2578E-07
3.8,8.2112E-07
3.75,8.2056E-07
3.7,8.1912E-07
3.65,8.1792E-07
3.6,8.147E-07
3.55,8.1106E-07
3.5,8.0976E-07
3.45,8.059E-07
3.4,8.0476E-07
3.35,8.0052E-07
3.3,7.973E-07
3.25,7.9544E-07
3.2,7.9456E-07
3.15,7.9228E-07
3.1,7.8904E-07
3.05,7.8876E-07
3,7.8476E-07
2.95,7.8054E-07
2.9,7.7598E-07
2.85,7.7046E-07
2.8,7.6916E-07
2.75,7.6374E-07
2.7,7.594E-07
2.65,7.555E-07
2.6,7.4778E-07
2.55,7.4438E-07
2.5,7.4066E-07
2.45,7.3694E-07
2.4,7.3256E-07
2.35,7.2928E-07
2.3,7.2528E-07
2.25,7.2092E-07
2.2,7.1414E-07
2.15,7.0912E-07
2.1,7.0448E-07
2.05,6.9696E-07
2,6.9032E-07
1.95,6.8536E-07
1.9,6.7898E-07
1.85,6.737E-07
1.8,6.655E-07
1.75,6.6264E-07
1.7,6.5594E-07
1.65,6.4728E-07
1.6,6.4314E-07
1.55,6.365E-07
1.5,6.2836E-07
1.45,6.245E-07
1.4,6.1728E-07
1.35,6.0998E-07
1.3,6.0282E-07
1.25,5.979E-07
1.2,5.8944E-07
1.15,5.8402E-07
1.1,5.7616E-07
1.05,5.7066E-07
1,5.6234E-07
0.95,5.566E-07
0.9,5.5114E-07
0.85,5.4256E-07
0.8,5.3474E-07
0.75,5.2716E-07
0.7,5.1884E-07
0.65,5.1096E-07
0.6,5.016E-07
0.55,4.9314E-07
0.5,4.844E-07
0.45,4.7548E-07
0.4,4.6494E-07
0.35,4.5686E-07
0.3,4.4786E-07
0.25,4.3604E-07
0.2,4.2614E-07
0.15,4.1732E-07
0.1,4.0668E-07
0.05,3.9838E-07
0,3.8716E-07
-0.05,3.7776E-07
-0.1,3.6776E-07
-0.15,3.5542E-07
-0.2,3.4576E-07
-0.25,3.3464E-07
-0.3,3.2344E-07
-0.35,3.1386E-07
-0.4,3.0318E-07
-0.45,2.94E-07
-0.5,2.8304E-07
-0.55,2.7322E-07
-0.6,2.6346E-07
-0.65,2.533E-07
